date,state,fips,cases,deaths
2020-03-06,Lima,LIM,1,0
2020-03-07,Arequipa,ARE,1,0
2020-03-07,Lima,LIM,4,0
2020-03-08,Lima,LIM,2,0
2020-03-09,Huanuco,HCO,2,0
2020-03-09,Lima,LIM,1,0
2020-03-10,Lima,LIM,1,0
2020-03-11,Arequipa,ARE,1,0
2020-03-11,Ica,ICA,1,0
2020-03-11,Lima,LIM,6,0
2020-03-12,Lima,LIM,8,0
2020-03-13,Cusco,CUS,1,0
2020-03-13,Lima,LIM,9,0
2020-03-14,Callao,CAL,1,0
2020-03-14,Lambayeque,LAM,1,0
2020-03-14,Lima,LIM,15,0
2020-03-14,Piura,PIU,2,0
2020-03-15,Ancash,ANC,1,0
2020-03-15,Callao,CAL,2,0
2020-03-15,La Libertad,LIB,1,0
2020-03-15,Lambayeque,LAM,2,0
2020-03-15,Lima,LIM,22,0
2020-03-16,Callao,CAL,1,0
2020-03-16,Lambayeque,LAM,3,0
2020-03-16,Lima,LIM,15,0
2020-03-16,Loreto,LOR,1,0
2020-03-17,Callao,CAL,1,0
2020-03-17,La Libertad,LIB,1,0
2020-03-17,Lima,LIM,16,0
2020-03-17,Loreto,LOR,9,0
2020-03-18,Ancash,ANC,1,0
2020-03-18,Cusco,CUS,3,0
2020-03-18,Lima,LIM,50,0
2020-03-18,Loreto,LOR,1,0
2020-03-18,Madre de Dios,MDI,1,0
2020-03-19,Ancash,ANC,2,0
2020-03-19,Arequipa,ARE,1,0
2020-03-19,Junin,JUN,2,0
2020-03-19,Lima,LIM,53,0
2020-03-19,Lima Region,LRE,3,0
2020-03-19,Loreto,LOR,1,0
2020-03-20,Arequipa,ARE,1,0
2020-03-20,Callao,CAL,1,0
2020-03-20,Junin,JUN,7,0
2020-03-20,La Libertad,LIB,2,0
2020-03-20,Lambayeque,LAM,2,0
2020-03-20,Lima,LIM,26,0
2020-03-20,Loreto,LOR,2,0
2020-03-20,Piura,PIU,15,0
2020-03-21,Lima,LIM,27,0
2020-03-21,Loreto,LOR,2,0
2020-03-21,Piura,PIU,1,0
2020-03-22,Arequipa,ARE,3,0
