date,state,flip,cases,deaths
5/04/2020,Amazonas,1,4,0
6/04/2020,Amazonas,1,1,0
7/04/2020,Amazonas,1,4,0
8/04/2020,Amazonas,1,5,0
9/04/2020,Amazonas,1,5,0
12/04/2020,Amazonas,1,8,0
14/04/2020,Amazonas,1,8,0
15/04/2020,Amazonas,1,11,0
16/04/2020,Amazonas,1,3,0
17/04/2020,Amazonas,1,1,0
18/04/2020,Amazonas,1,3,0
19/04/2020,Amazonas,1,1,0
20/04/2020,Amazonas,1,3,0
21/04/2020,Amazonas,1,7,0
22/04/2020,Amazonas,1,2,0
23/04/2020,Amazonas,1,2,0
24/04/2020,Amazonas,1,6,0
25/04/2020,Amazonas,1,9,0
26/04/2020,Amazonas,1,8,0
27/04/2020,Amazonas,1,14,0
28/04/2020,Amazonas,1,9,0
29/04/2020,Amazonas,1,14,0
30/04/2020,Amazonas,1,37,0
1/05/2020,Amazonas,1,85,0
2/05/2020,Amazonas,1,50,0
3/05/2020,Amazonas,1,2,0
4/05/2020,Amazonas,1,26,0
5/05/2020,Amazonas,1,12,0
6/05/2020,Amazonas,1,11,0
7/05/2020,Amazonas,1,9,0
8/05/2020,Amazonas,1,19,0
9/05/2020,Amazonas,1,4,0
11/05/2020,Amazonas,1,12,0
12/05/2020,Amazonas,1,11,0
13/05/2020,Amazonas,1,8,0
14/05/2020,Amazonas,1,3,0
15/05/2020,Amazonas,1,23,0
16/05/2020,Amazonas,1,32,0
17/05/2020,Amazonas,1,1,0
18/05/2020,Amazonas,1,20,0
19/05/2020,Amazonas,1,30,0
20/05/2020,Amazonas,1,12,0
21/05/2020,Amazonas,1,54,0
22/05/2020,Amazonas,1,25,0
23/05/2020,Amazonas,1,8,0
24/05/2020,Amazonas,1,5,0
25/05/2020,Amazonas,1,50,0
26/05/2020,Amazonas,1,22,0
27/05/2020,Amazonas,1,19,0
28/05/2020,Amazonas,1,25,0
29/05/2020,Amazonas,1,13,0
30/05/2020,Amazonas,1,13,0
31/05/2020,Amazonas,1,12,0
1/06/2020,Amazonas,1,14,0
2/06/2020,Amazonas,1,14,0
3/06/2020,Amazonas,1,35,0
4/06/2020,Amazonas,1,36,0
5/06/2020,Amazonas,1,49,0
6/06/2020,Amazonas,1,37,0
7/06/2020,Amazonas,1,12,0
8/06/2020,Amazonas,1,57,0
9/06/2020,Amazonas,1,75,0
10/06/2020,Amazonas,1,60,0
11/06/2020,Amazonas,1,43,0
12/06/2020,Amazonas,1,71,0
13/06/2020,Amazonas,1,67,0
14/06/2020,Amazonas,1,16,0
15/06/2020,Amazonas,1,199,0
16/06/2020,Amazonas,1,58,0
17/06/2020,Amazonas,1,62,0
18/06/2020,Amazonas,1,35,0
19/06/2020,Amazonas,1,79,0
20/06/2020,Amazonas,1,42,0
21/06/2020,Amazonas,1,13,0
22/06/2020,Amazonas,1,45,0
23/06/2020,Amazonas,1,45,0
24/06/2020,Amazonas,1,174,0
25/06/2020,Amazonas,1,59,0
26/06/2020,Amazonas,1,52,0
27/06/2020,Amazonas,1,55,0
28/06/2020,Amazonas,1,28,0
29/06/2020,Amazonas,1,29,0
30/06/2020,Amazonas,1,101,0
1/07/2020,Amazonas,1,72,0
2/07/2020,Amazonas,1,72,0
3/07/2020,Amazonas,1,203,0
4/07/2020,Amazonas,1,84,0
5/07/2020,Amazonas,1,23,0
6/07/2020,Amazonas,1,145,0
7/07/2020,Amazonas,1,121,0
8/07/2020,Amazonas,1,120,0
9/07/2020,Amazonas,1,67,0
10/07/2020,Amazonas,1,78,0
11/07/2020,Amazonas,1,92,0
12/07/2020,Amazonas,1,89,0
13/07/2020,Amazonas,1,77,0
14/07/2020,Amazonas,1,114,0
15/07/2020,Amazonas,1,84,0
16/07/2020,Amazonas,1,113,0
17/07/2020,Amazonas,1,325,0
18/07/2020,Amazonas,1,151,0
19/07/2020,Amazonas,1,46,0
20/07/2020,Amazonas,1,136,0
21/07/2020,Amazonas,1,86,0
22/07/2020,Amazonas,1,140,0
23/07/2020,Amazonas,1,191,0
24/07/2020,Amazonas,1,314,0
25/07/2020,Amazonas,1,188,0
26/07/2020,Amazonas,1,43,0
27/07/2020,Amazonas,1,184,0
28/07/2020,Amazonas,1,63,0
29/07/2020,Amazonas,1,146,0
30/07/2020,Amazonas,1,134,0
31/07/2020,Amazonas,1,165,0
1/08/2020,Amazonas,1,243,0
2/08/2020,Amazonas,1,43,0
3/08/2020,Amazonas,1,142,0
4/08/2020,Amazonas,1,170,0
5/08/2020,Amazonas,1,140,0
6/08/2020,Amazonas,1,201,0
7/08/2020,Amazonas,1,137,0
8/08/2020,Amazonas,1,111,0
9/08/2020,Amazonas,1,12,0
10/08/2020,Amazonas,1,193,0
11/08/2020,Amazonas,1,171,0
12/08/2020,Amazonas,1,153,0
13/08/2020,Amazonas,1,246,0
14/08/2020,Amazonas,1,227,0
15/08/2020,Amazonas,1,70,0
16/08/2020,Amazonas,1,38,0
17/08/2020,Amazonas,1,151,0
18/08/2020,Amazonas,1,126,0
19/08/2020,Amazonas,1,190,0
20/08/2020,Amazonas,1,231,0
21/08/2020,Amazonas,1,166,0
22/08/2020,Amazonas,1,129,0
23/08/2020,Amazonas,1,23,0
15/03/2020,Ancash,2,1,0
18/03/2020,Ancash,2,1,0
19/03/2020,Ancash,2,2,0
24/03/2020,Ancash,2,1,0
25/03/2020,Ancash,2,1,0
29/03/2020,Ancash,2,5,0
31/03/2020,Ancash,2,2,0
2/04/2020,Ancash,2,2,0
4/04/2020,Ancash,2,9,0
5/04/2020,Ancash,2,7,0
6/04/2020,Ancash,2,13,0
7/04/2020,Ancash,2,26,0
8/04/2020,Ancash,2,10,0
9/04/2020,Ancash,2,12,0
10/04/2020,Ancash,2,16,0
11/04/2020,Ancash,2,25,0
12/04/2020,Ancash,2,7,0
13/04/2020,Ancash,2,19,0
14/04/2020,Ancash,2,28,0
15/04/2020,Ancash,2,42,0
16/04/2020,Ancash,2,37,0
17/04/2020,Ancash,2,25,0
18/04/2020,Ancash,2,56,0
19/04/2020,Ancash,2,10,0
20/04/2020,Ancash,2,34,0
21/04/2020,Ancash,2,45,0
22/04/2020,Ancash,2,30,0
23/04/2020,Ancash,2,46,0
24/04/2020,Ancash,2,56,0
25/04/2020,Ancash,2,56,0
26/04/2020,Ancash,2,12,0
27/04/2020,Ancash,2,43,0
28/04/2020,Ancash,2,97,0
29/04/2020,Ancash,2,71,0
30/04/2020,Ancash,2,108,0
1/05/2020,Ancash,2,66,0
2/05/2020,Ancash,2,119,0
3/05/2020,Ancash,2,25,0
4/05/2020,Ancash,2,108,0
